EventID|SeatNo|SeatType|Status
E001|V01|VIP|Available
E001|V02|VIP|Available
E001|V03|VIP|Reserved
E001|V04|VIP|Available
E001|V05|VIP|Available
E001|V06|VIP|Available
E001|V07|VIP|Available
E001|V08|VIP|Available
E001|V09|VIP|Available
E001|V10|VIP|Available
E001|V11|VIP|Available
E001|V12|VIP|Available
E001|S13|Standard|Available
E001|S14|Standard|Reserved
E001|S15|Standard|Available
E001|S16|Standard|Available
E001|S17|Standard|Available
E001|S18|Standard|Available
E001|S19|Standard|Available
E001|S20|Standard|Available
E001|S21|Standard|Available
E001|S22|Standard|Available
E001|S23|Standard|Available
E001|S24|Standard|Available
E001|S25|Standard|Available
E001|S26|Standard|Available
E001|S27|Standard|Available
E001|S28|Standard|Available
E001|S29|Standard|Available
E001|S30|Standard|Available
E001|S31|Standard|Available
E001|S32|Standard|Available
E001|S33|Standard|Available
E001|S34|Standard|Available
E001|S35|Standard|Available
E001|S36|Standard|Available
E001|S37|Standard|Available
E001|S38|Standard|Available
E001|S39|Standard|Available
E001|S40|Standard|Reserved
E001|S41|Standard|Available
E001|S42|Standard|Available
E001|S43|Standard|Available
E001|S44|Standard|Available
E001|S45|Standard|Available
E001|S46|Standard|Available
E001|S47|Standard|Available
E001|S48|Standard|Available
E001|S49|Standard|Available
E001|S50|Standard|Available
E001|S51|Standard|Available
E001|S52|Standard|Available
E001|S53|Standard|Available
E001|S54|Standard|Available
E001|S55|Standard|Available
E001|S56|Standard|Available
E001|S57|Standard|Available
E001|S58|Standard|Available
E001|S59|Standard|Available
E001|S60|Standard|Available
E002|V01|VIP|Available
E002|V02|VIP|Available
E002|V03|VIP|Available
E002|V04|VIP|Available
E002|V05|VIP|Available
E002|V06|VIP|Available
E002|V07|VIP|Available
E002|V08|VIP|Available
E002|V09|VIP|Available
E002|V10|VIP|Available
E002|S11|Standard|Available
E002|S12|Standard|Available
E002|S13|Standard|Available
E002|S14|Standard|Available
E002|S15|Standard|Available
E002|S16|Standard|Available
E002|S17|Standard|Available
E002|S18|Standard|Available
E002|S19|Standard|Available
E002|S20|Standard|Available
E002|S21|Standard|Available
E002|S22|Standard|Available
E002|S23|Standard|Available
E002|S24|Standard|Available
E002|S25|Standard|Available
E002|S26|Standard|Available
E002|S27|Standard|Available
E002|S28|Standard|Available
E002|S29|Standard|Available
E002|S30|Standard|Available
E002|S31|Standard|Available
E002|S32|Standard|Available
E002|S33|Standard|Available
E002|S34|Standard|Available
E002|S35|Standard|Available
E002|S36|Standard|Available
E002|S37|Standard|Available
E002|S38|Standard|Available
E002|S39|Standard|Available
E002|S40|Standard|Available
E002|S41|Standard|Available
E002|S42|Standard|Available
E002|S43|Standard|Available
E002|S44|Standard|Available
E002|S45|Standard|Available
E002|S46|Standard|Available
E002|S47|Standard|Available
E002|S48|Standard|Available
E002|S49|Standard|Available
E002|S50|Standard|Available
E003|V01|VIP|Available
E003|V02|VIP|Available
E003|V03|VIP|Available
E003|V04|VIP|Available
E003|V05|VIP|Available
E003|V06|VIP|Available
E003|V07|VIP|Available
E003|V08|VIP|Available
E003|S09|Standard|Available
E003|S10|Standard|Available
E003|S11|Standard|Available
E003|S12|Standard|Available
E003|S13|Standard|Available
E003|S14|Standard|Available
E003|S15|Standard|Available
E003|S16|Standard|Available
E003|S17|Standard|Available
E003|S18|Standard|Available
E003|S19|Standard|Available
E003|S20|Standard|Available
E003|S21|Standard|Available
E003|S22|Standard|Available
E003|S23|Standard|Available
E003|S24|Standard|Available
E003|S25|Standard|Available
E003|S26|Standard|Available
E003|S27|Standard|Available
E003|S28|Standard|Available
E003|S29|Standard|Available
E003|S30|Standard|Available
E003|S31|Standard|Available
E003|S32|Standard|Available
E003|S33|Standard|Available
E003|S34|Standard|Available
E003|S35|Standard|Available
E003|S36|Standard|Available
E003|S37|Standard|Available
E003|S38|Standard|Available
E003|S39|Standard|Available
E003|S40|Standard|Available
E004|V01|VIP|Reserved
E004|V02|VIP|Available
E004|V03|VIP|Available
E004|V04|VIP|Available
E004|V05|VIP|Available
E004|V06|VIP|Available
E004|V07|VIP|Available
E004|V08|VIP|Available
E004|V09|VIP|Available
E004|S10|Standard|Available
E004|S11|Standard|Available
E004|S12|Standard|Available
E004|S13|Standard|Available
E004|S14|Standard|Available
E004|S15|Standard|Available
E004|S16|Standard|Available
E004|S17|Standard|Available
E004|S18|Standard|Available
E004|S19|Standard|Available
E004|S20|Standard|Available
E004|S21|Standard|Available
E004|S22|Standard|Available
E004|S23|Standard|Available
E004|S24|Standard|Available
E004|S25|Standard|Available
E004|S26|Standard|Available
E004|S27|Standard|Available
E004|S28|Standard|Available
E004|S29|Standard|Available
E004|S30|Standard|Available
E004|S31|Standard|Available
E004|S32|Standard|Reserved
E004|S33|Standard|Available
E004|S34|Standard|Available
E004|S35|Standard|Available
E004|S36|Standard|Available
E004|S37|Standard|Available
E004|S38|Standard|Available
E004|S39|Standard|Available
E004|S40|Standard|Available
E004|S41|Standard|Available
E004|S42|Standard|Available
E004|S43|Standard|Available
E004|S44|Standard|Available
E004|S45|Standard|Available
